artist,song,album,album_type,release_date,artist_type,duration_ms,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,pop,dance,metal,rock,hip_hop,edm,r&b,country,emo,latin,k-pop,year
Mario,Let Me Love You,Let Me Love You,single,2004-09-21,artist,256733,False,1,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,4,1,1,0,0,0,0,1,0,0,0,0,2004
Green Day,Holiday / Boulevard of Broken Dreams,American Idiot,album,2004-09-21,artist,493400,True,3,0.29,0.827,8,-3.451,1,0.0362,0.000659,2.55e-06,0.301,0.45,167.086,4,1,0,0,1,0,0,0,0,0,0,0,2004
Green Day,American Idiot,American Idiot,album,2004-09-21,artist,176346,True,1,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,4,1,0,0,1,0,0,0,0,0,0,0,2004
Green Day,Wake Me up When September Ends,American Idiot,album,2004-09-21,artist,285653,False,7,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,4,1,0,0,1,0,0,0,0,0,0,0,2004
Good Charlotte,I Just Wanna Live,"The Chronicles of Life and Death (""LIFE"" version)",album,2004-09-28,artist,166053,False,5,0.803,0.83,10,-4.636,0,0.0356,0.0144,0.0,0.103,0.935,111.033,4,1,0,1,1,0,0,0,0,0,0,0,2004
Usher & Alicia Keys,My Boo - Main,My Boo / Confessions Part II,single,2004-10-18,artist,224120,False,1,0.668,0.503,5,-8.265,1,0.14,0.219,0.0,0.0647,0.684,86.45,4,0,0,0,0,0,0,0,0,0,0,0,2004
The Killers,Smile Like You Mean It,The O.C. Vol. 2,compilation,2004-10-25,artist,234693,False,3,0.365,0.983,3,-2.596,0,0.14,0.000366,0.0119,0.188,0.392,125.029,4,0,1,0,1,0,0,0,0,0,0,0,2004
Simple Plan,Untitled (How Could This Happen to Me?),Still Not Getting Any,album,2004-10-26,artist,239813,False,11,0.208,0.342,6,-8.702,1,0.0327,0.875,3e-06,0.0908,0.135,186.162,4,1,0,0,1,0,0,0,0,0,0,0,2004
Simple Plan,Welcome to My Life,Still Not Getting Any,album,2004-10-26,artist,206773,False,2,0.421,0.858,1,-4.535,1,0.0963,0.0134,0.0,0.067,0.491,173.255,4,1,0,0,1,0,0,0,0,0,0,0,2004
Relient K,Be My Escape,Mmhmm,album,2004-11-02,artist,240453,False,2,0.554,0.864,9,-5.062,1,0.0394,0.00605,0.0,0.132,0.299,112.523,4,1,0,0,1,0,0,0,0,0,0,0,2004
Britney Spears,Everytime,Greatest Hits: My Prerogative,compilation,2004-11-08,artist,230320,False,7,0.562,0.286,3,-12.84,1,0.0288,0.965,4.45e-05,0.115,0.116,109.561,4,1,1,0,0,0,0,0,0,0,0,0,2004
Britney Spears,Toxic,Greatest Hits: My Prerogative,compilation,2004-11-08,artist,198813,False,2,0.774,0.839,5,-3.948,0,0.114,0.027,0.0166,0.252,0.923,142.985,4,1,1,0,0,0,0,0,0,0,0,0,2004
The All-American Rejects,It Ends Tonight,Move Along,album,2005-01-01,artist,244826,False,4,0.454,0.631,0,-4.733,1,0.0268,0.00233,0.0,0.177,0.313,87.888,4,1,0,0,1,0,0,0,0,0,0,0,2005
Hinder,Better Than Me,Extreme Behavior (Deluxe Edition),album,2005-01-01,artist,222133,False,6,0.444,0.681,2,-5.299,0,0.0288,0.194,0.0,0.143,0.261,139.937,4,1,0,1,1,0,0,0,0,0,0,0,2005
Lifehouse,You And Me,Lifehouse (International Version),album,2005-01-01,artist,195493,False,2,0.458,0.428,7,-7.835,1,0.0268,0.115,0.0,0.161,0.363,139.9,3,1,0,1,1,0,0,0,0,0,0,0,2005
Hilary Duff,So Yesterday,Most Wanted,album,2005-01-01,artist,215000,False,6,0.561,0.799,0,-4.256,1,0.0569,0.251,0.0,0.317,0.792,78.244,4,1,1,0,0,0,0,0,0,0,0,0,2005
The All-American Rejects,Dirty Little Secret,Move Along,album,2005-01-01,artist,193653,False,1,0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853,4,1,0,0,1,0,0,0,0,0,0,0,2005
Augustana,Boston,All The Stars and Boulevards,album,2005-01-01,artist,245933,False,4,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,4,1,0,0,1,0,0,0,0,0,0,0,2005
Hinder,Better Than Me,Extreme Behavior,album,2005-01-01,artist,223533,False,6,0.449,0.682,2,-5.295,0,0.029,0.205,0.0,0.175,0.254,139.924,4,1,0,1,1,0,0,0,0,0,0,0,2005
Fall Out Boy,"Sugar, We're Goin Down",From Under The Cork Tree,album,2005-01-01,artist,229093,False,4,0.494,0.841,7,-4.784,1,0.0838,0.00579,0.0,0.122,0.567,162.013,4,1,0,0,1,0,0,0,0,1,0,0,2005
The All-American Rejects,Move Along,Move Along,album,2005-01-01,artist,238880,False,3,0.526,0.92,3,-3.866,1,0.0472,0.000124,0.0,0.371,0.615,109.86,4,1,0,0,1,0,0,0,0,0,0,0,2005
Rupee,Tempted To Touch,STRICTLY THE BEST VOL. 31,compilation,2005-01-01,artist,207546,False,17,0.833,0.838,2,-6.722,0,0.0494,0.174,0.0,0.112,0.96,105.978,4,1,1,0,0,0,0,0,0,0,0,0,2005
Backstreet Boys,Incomplete,Never Gone,album,2005-01-01,artist,239586,False,1,0.446,0.604,4,-4.895,1,0.033,0.192,0.0,0.078,0.157,133.726,4,1,1,0,0,0,0,0,0,0,0,0,2005
Thirty Seconds To Mars,The Kill (Bury Me),A Beautiful Lie,album,2005-01-01,artist,231533,False,3,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,3,1,0,0,1,0,0,0,0,0,0,0,2005
Hinder,Lips Of An Angel,Extreme Behavior,album,2005-01-01,artist,261853,False,8,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08e-06,0.203,0.251,129.084,4,1,0,1,1,0,0,0,0,0,0,0,2005
Sean Paul,Temperature,Temperature,single,2005-01-01,artist,216466,False,1,0.951,0.597,0,-4.651,0,0.0669,0.104,0.0,0.0718,0.819,125.024,4,1,1,0,0,1,0,0,0,0,0,0,2005
McFly,Memory Lane,Wonderland (Japanese edition),album,2005-01-01,artist,278240,False,12,0.364,0.948,8,-3.14,1,0.0487,0.00233,1.85e-06,0.0517,0.46,157.922,4,1,1,0,0,0,0,0,0,0,0,0,2005
Fall Out Boy,"Dance, Dance",From Under The Cork Tree,album,2005-01-01,artist,180266,False,3,0.62,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.448,4,1,0,0,1,0,0,0,0,1,0,0,2005
Mariah Carey,We Belong Together,We Belong Together (Int'l ECD Maxi),single,2005-01-01,artist,201440,False,1,0.841,0.472,0,-7.917,1,0.066,0.027,0.0,0.091,0.765,139.974,4,1,1,0,0,0,0,1,0,0,0,0,2005
Hinder,Lips Of An Angel,Extreme Behavior (Deluxe Edition),album,2005-01-01,artist,260946,False,8,0.476,0.746,2,-5.37,1,0.0336,0.0229,1.22e-06,0.186,0.22,129.035,4,1,0,1,1,0,0,0,0,0,0,0,2005
McFly,All About You,Wonderland (Japanese edition),album,2005-01-01,artist,186866,False,7,0.542,0.559,1,-5.313,1,0.0258,0.197,0.0,0.0989,0.295,129.898,4,1,1,0,0,0,0,0,0,0,0,0,2005
McFly,Too Close For Comfort,Wonderland (Japanese edition),album,2005-01-01,artist,277280,False,6,0.218,0.798,7,-4.489,1,0.0338,0.00173,4.39e-06,0.137,0.24,183.255,3,1,1,0,0,0,0,0,0,0,0,0,2005
McFly,I Wanna Hold You,Wonderland (Japanese edition),album,2005-01-01,artist,179333,False,5,0.357,0.913,2,-1.491,1,0.0603,0.00404,1e-05,0.17,0.708,184.359,4,1,1,0,0,0,0,0,0,0,0,0,2005
McFly,I've Got You,Wonderland (Japanese edition),album,2005-01-01,artist,198866,False,2,0.486,0.943,4,-3.279,1,0.0492,0.00126,0.0,0.0712,0.581,154.113,4,1,1,0,0,0,0,0,0,0,0,0,2005
